title,runtimegenre(s),directors,writer(s),actor(s),rating(s),number of rating(s)
Paper Moon,1h 42min,Crime; Drama; Comedy,Peter Bogdanovich,Joe David Brown; Alvin Sargent,Ryan O'Neal; Tatum O'Neal; Madeline Kahn,8.1,"35,884"
The Green Mile,3h 9min,Fantasy; Drama; Crime,Frank Darabont,Stephen King; Frank Darabont,Tom Hanks; Michael Clarke Duncan; David Morse,8.5,"963,252"
Hotel Rwanda,2h 1min,Drama; History; Biography,Terry George,Keir Pearson; Terry George,Don Cheadle; Sophie Okonedo; Joaquin Phoenix,8.1,"305,557"
In the Name of the Father,2h 13min,Drama; Biography,Jim Sheridan,Gerry Conlon; Terry George,Daniel Day-Lewis; Pete Postlethwaite; Alison Crosbie,8.1,"136,291"
The Godfather: Part II,3h 22min,Drama; Crime,Francis Ford Coppola,Francis Ford Coppola; Mario Puzo,Al Pacino; Robert De Niro; Robert Duvall,9.0,"954,747"
American History X,1h 59min,Drama; Crime,Tony Kaye,David McKenna,Edward Norton; Edward Furlong; Beverly D'Angelo,8.5,"917,720"
Donnie Darko,1h 53min,Drama; Sci-Fi; Thriller,Richard Kelly,Richard Kelly,Jake Gyllenhaal; Jena Malone; Mary McDonnell,8.1,"678,753"
Room,1h 58min,Drama; Thriller,Lenny Abrahamson,Emma Donoghue; Emma Donoghue,Brie Larson; Jacob Tremblay; Sean Bridgers,8.2,"291,277"
Rang De Basanti,2h 37min,Drama; Comedy,Rakeysh Omprakash Mehra,Renzil D'Silva; Prasoon Joshi,Aamir Khan; Soha Ali Khan; Siddharth,8.2,"96,507"
Das Boot,2h 29min,Drama; Adventure; Thriller,Wolfgang Petersen,Wolfgang Petersen; Lothar G. Buchheim,Jürgen Prochnow; Herbert Grönemeyer; Klaus Wennemann,8.4,"200,873"
Guardians of the Galaxy,2h 1min,Action; Adventure; Comedy,James Gunn,James Gunn; Nicole Perlman,Chris Pratt; Vin Diesel; Bradley Cooper,8.1,"883,945"
The Help,2h 26min,Drama,Tate Taylor,Tate Taylor; Kathryn Stockett,Emma Stone; Viola Davis; Octavia Spencer,8.1,"379,691"
The Dark Knight,2h 32min,Drama; Action; Crime,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart,9.0,"1,981,039"
The Silence of the Lambs,1h 58min,Drama; Crime; Thriller,Jonathan Demme,Thomas Harris; Ted Tally,Jodie Foster; Anthony Hopkins; Lawrence A. Bonney,8.6,"1,079,608"
Some Like It Hot,2h 1min,Comedy; Romance,Billy Wilder,Billy Wilder; I.A.L. Diamond,Marilyn Monroe; Tony Curtis; Jack Lemmon,8.3,"211,286"
The Third Man,1h 44min,Thriller; Film-Noir; Mystery,Carol Reed,Graham Greene; Graham Greene,Orson Welles; Joseph Cotten; Alida Valli,8.2,"138,111"
Vertigo,2h 8min,Thriller; Romance; Mystery,Alfred Hitchcock,Alec Coppel; Samuel A. Taylor,James Stewart; Kim Novak; Barbara Bel Geddes,8.3,"306,654"
The Gold Rush,1h 35min,Drama; Adventure; Comedy,Charles Chaplin,Charles Chaplin,Charles Chaplin; Mack Swain; Tom Murray,8.2,"85,482"
The General,1h 7min,Action; Adventure; Comedy,Clyde Bruckman; Buster Keaton,Buster Keaton; Clyde Bruckman,Buster Keaton; Marion Mack; Glen Cavender,8.2,"68,488"
Hacksaw Ridge,2h 19min,Drama; History; Biography,Mel Gibson,Robert Schenkkan; Andrew Knight,Andrew Garfield; Sam Worthington; Luke Bracey,8.1,"339,721"
Rocky,2h,Sport; Drama,John G. Avildsen,Sylvester Stallone,Sylvester Stallone; Talia Shire; Burt Young,8.1,"454,183"
Demonen,1h 57min,Drama; Horror; Crime,Henri-Georges Clouzot,Pierre Boileau; Thomas Narcejac,Simone Signoret; Véra Clouzot; Paul Meurisse,8.1,"54,437"
Interstellar,2h 49min,Drama; Sci-Fi; Adventure,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Matthew McConaughey; Anne Hathaway; Jessica Chastain,8.6,"1,223,979"
Before Sunset,1h 20min,Drama; Romance,Richard Linklater,Richard Linklater; Julie Delpy,Ethan Hawke; Julie Delpy; Vernon Dobtcheff,8.1,"199,853"
"Paris, Texas",2h 25min,Drama,Wim Wenders,L.M. Kit Carson; Sam Shepard,Harry Dean Stanton; Nastassja Kinski; Dean Stockwell,8.1,"70,166"
Cidade de Deus,2h 10min,Drama; Crime,Fernando Meirelles; Kátia Lund,Paulo Lins; Bráulio Mantovani,Alexandre Rodrigues; Leandro Firmino; Matheus Nachtergaele,8.6,"621,822"
Per qualche dollaro in più,2h 12min,Western,Sergio Leone,Sergio Leone; Fulvio Morsella,Clint Eastwood; Lee Van Cleef; Gian Maria Volontè,8.3,"195,833"
Het gebeurde op 'n avond,1h 45min,Comedy; Romance,Frank Capra,Robert Riskin; Samuel Hopkins Adams,Clark Gable; Claudette Colbert; Walter Connolly,8.1,"81,715"
PK,2h 33min,Drama; Sci-Fi; Comedy,Rajkumar Hirani,Rajkumar Hirani; Abhijat Joshi,Aamir Khan; Anushka Sharma; Sanjay Dutt,8.2,"129,389"
Kill Bill: Vol. 1,1h 51min,Action; Crime; Thriller,Quentin Tarantino,Quentin Tarantino; Quentin Tarantino,Uma Thurman; David Carradine; Daryl Hannah,8.1,"870,443"
Terminator 2: Judgment Day,2h 17min,Action; Sci-Fi,James Cameron,James Cameron; William Wisher,Arnold Schwarzenegger; Linda Hamilton; Edward Furlong,8.5,"872,824"
Hauru no ugoku shiro,1h 59min,Family; Adventure; Animation,Hayao Miyazaki,Hayao Miyazaki; Diana Wynne Jones,Chieko Baishô; Takuya Kimura; Tatsuya Gashûin,8.2,"269,722"
Eternal Sunshine of the Spotless Mind,1h 48min,Drama; Sci-Fi; Romance,Michel Gondry,Charlie Kaufman; Michel Gondry,Jim Carrey; Kate Winslet; Tom Wilkinson,8.3,"793,854"
The Great Escape,2h 52min,Drama; Adventure; History,John Sturges,Paul Brickhill; James Clavell,Steve McQueen; James Garner; Richard Attenborough,8.2,"198,230"
Ran,2h 42min,Drama; Action,Akira Kurosawa,Akira Kurosawa; Hideo Oguni,Tatsuya Nakadai; Akira Terao; Jinpachi Nezu,8.2,"95,692"
Warrior,2h 20min,Sport; Drama,Gavin O'Connor,Gavin O'Connor; Anthony Tambakis,Tom Hardy; Nick Nolte; Joel Edgerton,8.2,"392,144"
Amélie,2h 2min,Comedy; Romance,Jean-Pierre Jeunet,Guillaume Laurant; Jean-Pierre Jeunet,Audrey Tautou; Mathieu Kassovitz; Rufus,8.3,"630,729"
Good Will Hunting,2h 6min,Drama; Romance,Gus Van Sant,Matt Damon; Ben Affleck,Robin Williams; Matt Damon; Ben Affleck,8.3,"735,711"
Monty Python and the Holy Grail,1h 31min,Fantasy; Adventure; Comedy,Terry Gilliam; Terry Jones,Graham Chapman; John Cleese,Graham Chapman; John Cleese; Eric Idle,8.3,"444,994"
Pan's Labyrinth,1h 58min,Fantasy; Drama; War,Guillermo del Toro,Guillermo del Toro,Ivana Baquero; Ariadna Gil; Sergi López,8.2,"553,210"
A Clockwork Orange,2h 16min,Drama; Sci-Fi; Crime,Stanley Kubrick,Stanley Kubrick; Anthony Burgess,Malcolm McDowell; Patrick Magee; Michael Bates,8.3,"663,016"
Fight Club,2h 19min,Drama,David Fincher,Chuck Palahniuk; Jim Uhls,Brad Pitt; Edward Norton; Meat Loaf,8.8,"1,610,205"
Before Sunrise,1h 41min,Drama; Romance,Richard Linklater,Richard Linklater; Kim Krizan,Ethan Hawke; Julie Delpy; Andrea Eckert,8.1,"228,716"
Ah-ga-ssi,2h 24min,Drama; Thriller; Romance,Chan-wook Park,Sarah Waters; Seo-kyeong Jeong,Min-hee Kim; Jung-woo Ha; Jin-Woong Cho,8.1,"68,698"
Tonari no Totoro,1h 26min,Fantasy; Family; Animation,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi; Noriko Hidaka; Chika Sakamoto,8.2,"226,256"
Harry Potter and the Deathly Hallows: Part 2,2h 10min,Fantasy; Drama; Adventure,David Yates,Steve Kloves; J.K. Rowling,Daniel Radcliffe; Emma Watson; Rupert Grint,8.1,"663,285"
Toy Story 3,1h 43min,Adventure; Comedy; Animation,Lee Unkrich,John Lasseter; Andrew Stanton,Tom Hanks; Tim Allen; Joan Cusack,8.3,"653,894"
De beste jaren van ons leven,2h 50min,War; Drama; Romance,William Wyler,Robert E. Sherwood; MacKinlay Kantor,Myrna Loy; Dana Andrews; Fredric March,8.1,"51,509"
American Beauty,2h 2min,Drama,Sam Mendes,Alan Ball,Kevin Spacey; Annette Bening; Thora Birch,8.4,"960,015"
Full Metal Jacket,1h 56min,War; Drama,Stanley Kubrick,Stanley Kubrick; Michael Herr,Matthew Modine; R. Lee Ermey; Vincent D'Onofrio,8.3,"585,204"
Reservoir Dogs,1h 39min,Drama; Crime; Thriller,Quentin Tarantino,Quentin Tarantino; Quentin Tarantino,Harvey Keitel; Tim Roth; Michael Madsen,8.3,"791,642"
Pirates of the Caribbean: The Curse of the Black Pearl,2h 23min,Fantasy; Action; Adventure,Gore Verbinski,Ted Elliott; Terry Rossio,Johnny Depp; Geoffrey Rush; Orlando Bloom,8.0,"937,977"
"Lock, Stock and Two Smoking Barrels",1h 47min,Crime; Comedy,Guy Ritchie,Guy Ritchie,Jason Flemyng; Dexter Fletcher; Nick Moran,8.2,"479,057"
Gran Torino,1h 56min,Drama,Clint Eastwood,Nick Schenk; Dave Johannson,Clint Eastwood; Bee Vang; Christopher Carley,8.1,"650,780"
Pulp Fiction,2h 34min,Drama; Crime,Quentin Tarantino,Quentin Tarantino; Roger Avary,John Travolta; Uma Thurman; Samuel L. Jackson,8.9,"1,570,914"
Double Indemnity,1h 47min,Drama; Film-Noir; Crime,Billy Wilder,Billy Wilder; Raymond Chandler,Fred MacMurray; Barbara Stanwyck; Edward G. Robinson,8.3,"121,606"
The Pianist,2h 30min,Drama; Music; Biography,Roman Polanski,Ronald Harwood; Wladyslaw Szpilman,Adrien Brody; Thomas Kretschmann; Frank Finlay,8.5,"610,954"
12 Angry Men,1h 36min,Drama; Crime,Sidney Lumet,Reginald Rose; Reginald Rose,Henry Fonda; Lee J. Cobb; Martin Balsam,8.9,"564,131"
The Truman Show,1h 43min,Drama; Sci-Fi; Comedy,Peter Weir,Andrew Niccol,Jim Carrey; Ed Harris; Laura Linney,8.1,"804,221"
The Prestige,2h 10min,Drama; Sci-Fi; Mystery,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Hugh Jackman; Scarlett Johansson,8.5,"1,022,921"
On the Waterfront,1h 48min,Drama; Crime; Thriller,Elia Kazan,Budd Schulberg; Budd Schulberg,Marlon Brando; Karl Malden; Lee J. Cobb,8.2,"124,019"
Alien,1h 56min,Sci-Fi; Horror,Ridley Scott,Dan O'Bannon; Ronald Shusett,Sigourney Weaver; Tom Skerritt; John Hurt,8.5,"686,576"
Mandariinid,1h 27min,War; Drama,Zaza Urushadze,Tatjana Mülbeier; Zaza Urushadze,Lembit Ulfsak; Elmo Nüganen; Giorgi Nakashidze,8.2,"30,591"
V for Vendetta,2h 12min,Drama; Action; Sci-Fi,James McTeigue,Lilly Wachowski; Lana Wachowski,Hugo Weaving; Natalie Portman; Rupert Graves,8.2,"924,588"
The Shining,2h 26min,Drama; Horror,Stanley Kubrick,Stephen King; Stanley Kubrick,Jack Nicholson; Shelley Duvall; Danny Lloyd,8.4,"745,527"
Chinatown,2h 10min,Drama; Thriller; Mystery,Roman Polanski,Robert Towne,Jack Nicholson; Faye Dunaway; John Huston,8.2,"256,679"
Yôjinbô,1h 50min,Drama; Action; Thriller,Akira Kurosawa,Akira Kurosawa; Akira Kurosawa,Toshirô Mifune; Eijirô Tôno; Tatsuya Nakadai,8.3,"92,566"
